genes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
eca-miR-103,14057.78,5570.41,8044.02,5711.41,7616.71,10728.75,11792.01,14642.34,1658.54,15181.38,3275.15,15098.16,25632.36,295.97,28971.64,352.7,22841.83,11801.22,4762.33,19951.03,27569.27,12631.87,19067.2,24259.25,24233.19,6448.64,8331.12,18817.12,16986.76,17378.16,12243.64,10094.97,8070.75,8979.87,22878,9014.86,9563.86,9377.58,208.64,1743.09,11504.68,32716.29,7004.92,18875,12437.32,6970.58,21826.36,8457.87,3716.91,10132.95,25989.75,18533.96
eca-miR-106a,1564.75,0,0,0,0,0,0,0,0,0,0,2993.22,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3666.06,4857.61
eca-miR-107a,14057.78,5403.3,8044.02,5711.41,7616.71,10728.75,11792.01,14642.34,1658.54,15181.38,3275.15,15098.16,21550.94,295.97,28971.64,352.7,22841.83,11801.22,4762.33,19951.03,27569.27,12631.87,17749.47,24222.72,24233.19,6448.64,6947.03,18817.12,16986.76,17378.16,10270.43,8412.48,8070.75,8979.87,22878,9014.86,9563.86,9377.58,166.91,1743.09,11504.68,32666.8,7004.92,18875,12437.32,6970.58,21826.36,8457.87,3716.91,10132.95,25989.75,18533.96
eca-miR-107b,7744.68,55.7,5324.92,3821.02,3783.78,7679.29,7103.62,4490.82,17.1,6171.1,8208.61,9816,10476.51,6585.28,11745.26,176.35,12740.62,11474.54,4584.3,18024.17,7855.01,7799.15,10821.39,5809.07,14009.04,6218.33,13.31,12452.96,13527.38,0,1164.52,2447.27,3660.26,6175.81,9822.77,0,4781.93,4158.28,125.18,1707.52,2845.24,5840.43,47.33,9062.5,12409.31,0,9602.67,4516.34,3641.05,4109.12,17708.38,20.85
eca-miR-10a,266.34,55.7,16.19,4786.32,0,6877.98,1657.51,37.74,2222.79,23.46,497.49,2509.02,1039.85,0,7656.17,10228.37,19.85,0,4717.82,3331.86,4701.84,4596.98,79.86,3105.48,2998.43,0,2914.56,275.37,23.86,94.45,48.52,13.9,2114.31,1703.08,0,1211.14,41.22,733.36,41.73,2098.82,9113.03,6384.87,47.33,0,0,0,46.39,2189.74,0,6411.08,0,62.54
eca-miR-10b,4631.83,123718.81,90329.37,106365.01,19582.31,82869.61,72741.05,62946.96,101342.22,157445.21,98420.46,58896.03,37954.61,131261.56,50635.11,102107.4,96209.57,19723.14,28796.51,55878.93,45232.58,117448.87,114163.64,40626.94,80220.21,35237.22,150878.36,87262.49,107646.43,54117.87,97043.41,94664.68,126244.71,96937.9,28033.22,127981.02,92505.57,148941.32,28833.72,112980.68,50204.12,84983.17,122444.15,89437.5,68657.39,165690.78,65131.17,112716.92,59849.81,65982.53,64597.96,79264.48
eca-miR-1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,1099.83,0,0,0,0,699.21,1236.71,0,0,0,0,0,0,0,0,0,0,821.15,0,0,0,0
eca-miR-122,241.37,0,0,0,0,0,0,0,0,0,0,0,5433.23,0,1827.04,0,0,0,0,40.14,5901.72,3663.83,0,4786.09,0,230.31,2049.51,0,0,10861.35,0,500.58,1841.5,3096.51,10923.48,1698.09,5152.94,3643.37,0,0,2824.63,0,47.33,3250,0,0,1600.45,0,44792.54,0,3780.63,0
eca-miR-125a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901.98,0,0,0,0,20.85
eca-miR-125a-5p,1589.72,55.7,6441.69,5389.64,2457,2515.25,1444.4,1528.39,4240.4,12224.88,1077.9,9243.77,3197.55,8065.11,3741.08,0,1071.64,3675.12,89.02,3131.15,1255.69,4017.44,3913.27,36.54,2015.34,0,3233.96,2202.98,8660.38,13505.86,1827.65,3253.75,10730.69,4094.27,5141.28,2796.85,2390.96,7793.85,41.73,5051.4,1154.59,0,3029.16,6250,1736.74,7249.41,5288.43,2025.51,8040.66,0,16.37,0
eca-miR-125b-5p,1527.3,334.22,8189.69,4947.21,7125.31,4407.25,2225.8,113.21,0,2674.93,165.83,11532.71,3977.44,0,6351.14,529.05,2500.5,20008.98,44.51,19750.31,865.03,4390.7,0,73.07,1917.03,0,1517.17,5308.57,4103.54,12041.93,0,3559.66,22.73,1410.63,557.32,2821.83,1978.73,569.52,9764.24,0,2185.48,49.5,47.33,8812.5,7143.06,69.71,23.19,27.37,0,0,6939.33,1855.48
eca-miR-126-3p,5401.72,8912.66,13773.57,14881.85,15159.71,8391.58,4427.92,8698.61,17.1,12271.81,22552.96,16594.77,11334.39,813.91,32973.73,617.23,6687.83,23969.95,18070.14,15013.45,6501.66,4685.38,7327.4,12385.37,1425.48,16582.22,8357.73,6180.58,10569.01,8689.08,3865.56,3851.66,9753.1,12609.67,13849.41,1635.66,1855.06,5110.08,12977.26,0,16452.93,148.49,13347.22,6687.5,9636.12,69.71,11017.56,2408.72,12174.77,2818.3,9639.78,8568.57
eca-miR-126-5p,5593.15,222.82,11232.5,14198.09,3955.77,0,8263.88,6585.28,1265.28,5279.46,3316.61,14349.85,9592.64,813.91,8526.19,352.7,4544.55,24745.8,4139.22,40.14,12431.29,9.82,0,21153.78,0,0,4724.51,7802.22,5582.73,3683.42,1358.61,3559.66,2841.81,17.2,1490.83,3496.07,2761.98,7.8,0,71.15,8968.7,0,4117.76,3125,28.01,0,1438.08,1587.56,14867.63,13725.74,6382.87,792.23
eca-miR-127,174.79,0,1877.48,9874.31,0,0,118.39,18.87,1744.04,0,41.46,0,1767.75,0,0,0,0,10657.85,12417.66,0,0,0,0,2557.45,0,0,0,4191.78,3960.4,1369.47,970.43,2002.31,386.49,0,0,611.81,0,1529.12,13519.72,1920.96,1092.74,0,0,7500,0,0,997.38,2162.37,4323.75,0,0,4711.67
eca-miR-1271a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192.89,0,0,0,1727.82,0,0,986.39,0,0,0,0,0,346.47,0,0,0,0,0,0,0,0,0,0
eca-miR-128,4119.95,0,1084.41,0,0,0,0,830.24,0,0,0,2993.22,0,4661.49,0,0,0,0,0,0,3027.6,0,3573.85,36.54,0,230.31,0,3778.72,0,47.22,0,862.1,0,1393.43,1017.11,0,0,1100.03,0,0,20.62,0,0,62.5,0,6203.82,0,492.69,37.93,10670.8,0,0
eca-miR-1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801.81,0,0,0,0,0,0,0,0,0,0,0,2803.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85
eca-miR-1307,1419.09,2729.5,48.56,0,3759.21,0,3172.95,0,0,0,165.83,4269.74,0,0,0,88.18,0,3021.76,0,8068.72,0,5687.29,0,5772.53,0,0,0,0,1574.62,0,1083.65,556.2,1818.76,5573.71,0,1173.68,0,850.38,5508.03,0,0,8859.63,8519.5,0,2941.26,0,0,0,0,0,0,2272.44
eca-miR-130a,112.36,0,0,0,859.95,4830.17,0,0,0,0,0,3213.31,7460.94,0,3045.07,1587.16,19.85,0,6053.05,0,0,0,0,5114.9,0,0,625.5,1912.31,1025.89,0,1051.3,347.62,3182.83,0,8164.74,0,0,0,6384.31,0,0,49.5,1893.22,0,56.02,0,7028.04,0,11264.51,0,0,0
eca-miR-130b,0,0,0,0,0,0,23.68,18.87,0,0,0,0,0,0,0,0,0,6941.89,0,0,0,0,918.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-132,0,55.7,0,0,0,0,0,0,0,0,0,0,0,6807.25,0,88.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1180.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-133a,1843.57,0,0,0,24.57,0,0,2283.15,0,0,0,1056.43,0,0,0,0,0,7309.4,0,0,1171.97,0,0,0,0,0,0,0,1240.61,0,0,0,0,0,0,0,0,741.16,0,0,0,0,6673.61,0,3193.37,0,0,0,0,0,0,0
eca-miR-134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-136,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.83,0,0,0,0,0,0,0,808.7,0,0,0,0,0,0,1224.86,3922.39,0,0,0,0,0,0,0,0,1149.61,0,0,0,0
eca-miR-138,482.74,0,0,0,0,0,0,18.87,0,0,41.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-1388,449.45,0,6085.62,0,0,5720.52,0,0,0,2416.82,0,0,26,0,87,0,0,0,0,0,0,0,0,7672.35,0,0,1530.48,0,1192.89,7366.83,0,0,5138,0,0,824.07,0,1778.78,0,0,1525.71,0,0,0,0,0,23.19,520.06,0,0,0,20.85
eca-miR-139-5p,441.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.67,0,0,0,0,0,0,1121.32,0,0,0,3637.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-140-3p,5788.74,891.27,32.37,0,2850.12,2737.84,3599.17,0,3402.58,23.46,0,0,0,0,87,0,0,0,0,0,5287.83,0,1737.01,0,2064.49,0,13.31,0,0,0,0,1724.21,0,2322.38,0,2135.1,0,670.94,7552.68,0,0,0,4449.07,3812.5,0,0,0,0,0,0,16.37,0
eca-miR-140-5p,220.56,0,0,0,0,0,1468.08,2000.11,0,0,0,0,0,0,0,0,0,0,0,40.14,1255.69,0,0,0,0,0,0,0,0,0,0,0,0,1857.9,0,0,4740.7,0,0,0,0,0,0,0,0,0,1809.2,930.64,0,1699.58,0,0
eca-miR-141,0,55.7,0,0,4275.18,0,0,18.87,0,0,0,1452.59,1949.72,7251.2,2697.06,0,0,0,0,0,0,1885.94,0,0,4276.45,0,0,0,0,0,16.17,0,0,0,2758.74,0,3751.34,858.18,0,0,0,49.5,0,0,0,0,3316.86,656.92,0,0,0,0
eca-miR-142-3p,732.44,0,0,0,0,0,0,0,0,0,0,0,1143.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2562.5,0,2091.18,0,0,0,0,0,0
eca-miR-142-5p,4.16,1559.71,2848.59,1588.74,5749.39,0,3386.06,490.59,1299.48,0,0,2509.02,3977.44,0,0,88.18,1409.01,0,578.6,2850.15,1395.21,2121.68,0,0,0,0,13.31,3656.34,0,0,0,1918.88,2614.47,722.52,7008.3,1023.85,2349.74,2980.23,3004.38,35.57,2824.63,0,2129.88,0,0,4252.06,3432.84,629.55,4247.9,2839.81,16.37,20.85
eca-miR-143,2455.33,2339.57,2751.48,4886.88,4864.86,9415.48,3646.52,2056.72,0,2322.96,41.46,1188.48,0,73.99,8178.18,2557.09,2004.37,6901.06,4139.22,0,4980.89,2897.67,1038.21,5041.83,0,0,6081.98,2202.98,1956.34,10766.91,1973.22,0,0,0,10686.62,0,1978.73,4127.07,8178.59,3343.89,4927.63,0,94.66,4062.5,2969.27,13244.11,5450.79,0,0,5572.05,6906.6,0
eca-miR-144,2047.49,0,0,20.11,4717.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5499.58,0,0,0,0,0,7139.57,0,0,7944.65,47.22,0,0,0,3216.93,1476.9,12.49,4617.03,0,0,0,0,0,0,1875,2465.06,0,0,0,0,0,16.37,0
eca-miR-145,2921.42,0,2751.48,0,0,0,0,2905.82,0,5467.17,953.53,2861.17,0,0,0,0,5080.37,0,0,5218.58,0,0,0,109.61,0,0,0,6670.13,23.86,3541.75,1504.17,681.34,0,0,0,649.27,41.22,0,0,0,2989.57,0,0,0,0,0,0,2052.88,0,43.03,0,20.85
eca-miR-1468,237.21,1671.12,1828.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,875.9,0,0,0,0
eca-miR-146a,1714.57,5626.11,2282.11,7481.15,7076.17,9704.85,8453.31,6283.37,3214.5,3707.35,3814.1,968.4,6317.1,9174.99,174,0,2262.35,12168.73,5474.45,4134.72,4869.27,9.82,0,4968.76,8454.58,230.31,8650.52,3885.81,5463.44,47.22,12502.43,8899.15,45.47,12196.8,0,6342.86,7214.11,5546.97,41.73,3806.34,2206.09,23163.73,9655.43,16062.5,5994.57,8364.7,2180.32,4543.71,9974.97,0,9508.85,6379.52
eca-miR-146b-5p,1019.58,13257.58,5405.84,6294.62,3980.34,4919.2,2557.3,8264.62,9113.45,23.46,41.46,11400.65,3535.5,8065.11,5046.11,8376.69,5179.6,0,0,2930.43,4283.28,11777.3,16831.05,4055.39,1376.33,230.31,9968.06,8857.82,2075.63,6800.15,5677.04,7967.52,4410.49,5556.51,2020.29,16269.2,7337.79,9455.6,41.73,3948.63,8948.08,0,1703.9,2312.5,2857.22,21957.34,9069.19,5118.52,8912.99,1807.15,0,2397.53
eca-miR-148a,15193.89,15095.81,13886.87,20854.7,9434.89,3205.27,6677.4,9642.06,9780.29,9197.99,16873.26,18003.35,7200.98,19755.83,3654.08,12609.12,26910.1,14210.46,15132.63,8389.87,16128.58,5844.45,15972.53,4128.46,22463.63,8291.11,22624.43,3258.57,15125.85,6847.37,20573.2,9705.63,10253.26,16308.27,9892.44,19190.91,14222.11,13707.5,17734.2,12913.09,13174.71,25737.48,22671.34,21125,4089.75,15474.7,12107.72,12673.13,2123.95,2689.21,10196.23,23662.59
eca-miR-148b-3p,416.16,1169.79,16.19,3157.37,0,0,0,0,0,0,0,0,0,6067.33,5220.11,3527.03,19.85,0,0,0,0,0,1557.32,0,0,0,0,0,0,2030.6,1099.83,0,0,0,0,0,0,0,3463.38,0,0,0,0,2062.5,0,0,0,821.15,37.93,0,0,0
eca-miR-148b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-149,2293.02,0,0,0,0,0,0,1037.79,0,23.46,0,0,0,0,0,0,0,0,0,0,3306.64,0,0,0,0,0,0,0,0,0,16.17,2530.7,0,3216.93,0,12.49,0,0,0,0,0,0,0,0,0,0,0,903.27,0,0,16.37,0
eca-miR-150,14844.32,0,0,0,3587.22,5408.89,0,3679.45,17.1,0,41.46,0,6265.11,0,0,0,0,0,0,6141.87,2734.6,0,0,36.54,5603.62,0,0,0,0,0,3622.95,2697.55,45.47,0,1713.76,0,11501.36,0,8470.69,35.57,0,0,3881.11,0,0,0,0,82.12,37.93,0,16.37,4920.15
eca-miR-151-5p,0,0,1650.89,20.11,0,2760.09,473.57,1094.4,2958.02,5701.82,0,2861.17,0,0,3741.08,0,0,5308.51,0,3251.58,0,1758.25,4871.62,36.54,3932.36,0,4791.06,3916.41,715.73,47.22,4544.87,1209.73,3478.38,0,0,3533.52,2349.74,1123.44,0,1956.53,2597.83,4553.55,3360.47,0,0,0,0,629.55,0,0,0,2147.35
eca-miR-155,8.32,0,0,0,2358.72,0,0,0,0,23.46,2114.34,0,0,0,0,0,0,0,0,3091,13.95,2691.39,1856.81,0,0,0,0,0,0,0,0,1015.06,3091.89,1771.89,0,0,0,2512.13,0,0,2680.3,0,0,0,0,0,0,739.04,0,0,7283.02,0
eca-miR-15a,412,0,0,0,0,5141.79,0,0,0,0,0,0,0,0,0,0,1825.76,0,0,80.29,1771.91,0,0,0,0,0,0,6348.87,0,47.22,2959.82,1946.69,0,0,2814.47,973.9,0,0,0,0,0,0,0,0,0,5297.64,0,0,0,0,0,4169.62
eca-miR-15b,915.55,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22,0,0,0,0,0,47.33,0,0,0,0,0,0,0,0,0
eca-miR-16,55303.09,2116.76,13627.9,11865.26,29557.74,14646.31,10726.46,10547.77,14448.15,15298.7,9618.18,5106.08,21758.91,517.94,5916.13,88.18,38479.86,34913.63,11260.46,30468.47,24109.16,6551.68,4711.9,16696.5,5308.69,58498.39,12816.08,38949.91,4866.99,16103.14,18502.94,11165.65,11844.68,9685.19,13556.82,8890,33267.38,1326.28,29417.9,6438.76,6226.55,44842.61,17512.31,16312.5,27031.57,24954.69,6865.68,12207.81,41568.69,55397.79,66103.66,27582.04
eca-miR-181a,16051.17,12644.83,28712.47,23569.63,18992.63,13511.11,18445.73,13887.58,15405.66,19569.2,14510.18,40892.68,22096.86,23603.4,25491.56,6172.3,2897.4,32586.06,26304.08,7185.58,31754.89,13840.05,8066.13,44280.44,5112.07,13127.59,11125.9,16430.56,15984.73,14450.32,14313.9,10386.97,11253.58,13263.38,13821.55,9601.7,15623.71,21844.62,11600.25,16648.29,14432.39,4207.09,19026.88,22187.5,12689.43,10177.05,8095.01,17709.53,16308.88,2818.3,19606.88,24121.25
eca-miR-181b,4128.28,3899.29,1132.96,4846.66,1474.2,0,4830.46,5038.02,2188.6,6710.78,7255.09,7923.23,2599.63,221.98,3306.07,88.18,5596.35,11515.37,8411.96,0,7506.21,9.82,0,1972.89,7815.57,230.31,9249.4,5400.36,1455.33,0,679.3,3392.8,4569.64,1875.11,0,4257.71,0,0,6592.95,2952.58,5154.43,15788.95,0,2812.5,1512.65,0,4175.07,1122.24,4172.04,7314.66,16.37,3627.57
eca-miR-182,749.08,779.86,0,20.11,2506.14,0,0,0,598.44,0,0,1672.68,1507.79,73.99,0,0,0,81.67,756.63,0,13.95,2347.6,0,0,0,0,0,0,477.16,0,2587.82,611.82,0,0,404.06,561.87,8409.6,507.11,0,3166.02,948.41,5840.43,0,0,0,2091.18,997.38,0,8306.15,0,7413.95,0
eca-miR-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591.04,0,1511.14,0,0,500.16,0,0,0,0,0,0,0,0,0,0,0,0,0,742.24,0,0,0,0,0
eca-miR-1839,0,0,0,1769.73,1375.92,2671.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,49.15,0,0,0,0,0,2232,0,0,1720.28,0,0,2102.4,0,0,0,0,0,0,0,0,0,0,1040.13,0,0,0,2585.16
eca-miR-184,0,0,0,0,0,0,5469.79,0,0,0,2570.37,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,1438.06,0,3730.64,4221.39,625.72,0,0,3427.52,0,0,499.31,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-186,2546.88,3565.06,6749.21,1106.08,5798.53,2938.16,5138.28,11830.86,6856.46,0,7669.67,2509.02,6655.05,14280.43,3045.07,7142.23,8533.44,7186.9,2225.39,80.29,4311.19,7671.45,9343.93,2995.87,2310.26,8751.73,10367.31,3717.53,6847.19,5902.91,6437.21,5103.1,2773.61,8274.56,3023.46,11199.9,13686.21,8254.15,6467.77,5798.44,7896.58,98.99,11690.65,7437.5,4790.05,69.71,7352.77,5638.58,13691.88,3184.03,16.37,2418.38
eca-miR-188-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-191a,25439.67,2005.35,11863.72,40.22,18796.07,8725.46,7553.51,8774.08,11079.76,0,8374.45,3169.29,51.99,11838.7,17052.38,2821.62,15757.09,6492.71,3249.07,14652.16,11133.74,11217.41,4652,8695.33,7422.34,460.62,7918.55,9974.6,13455.8,0,3509.74,3045.18,8025.28,11680.72,6102.66,10438.26,14551.9,7434.97,41.73,11312.3,9339.82,17818.25,4212.42,22750,17423.46,8852.64,3386.45,13576.39,13540.17,14715.37,14713.34,17199.68
eca-miR-192,2859,0,2751.48,0,3636.36,0,0,0,0,23.46,2404.54,44.02,3769.46,0,0,0,4881.92,7227.73,0,0,0,0,0,36.54,0,230.31,0,0,334.01,47.22,0,0,0,0,626.99,2035.21,1607.72,0,3505.11,0,3628.72,0,0,0,0,0,0,0,37.93,0,0,0
eca-miR-193a-3p,0,0,0,0,0,0,23.68,0,0,0,0,0,0,0,0,88.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-193a-5p,278.83,0,0,0,0,0,0,0,0,0,41.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
