genes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
eca-miR-193b,1177.72,0,1343.37,0,0,0,0,2547.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310.26,0,0,0,23.86,0,0,0,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5340.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-195,216.4,0,0,0,0,0,2107.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.18,0,0,0,0
eca-miR-196a,0,0,32.37,0,0,0,0,18.87,0,0,0,88.04,0,147.98,2436.05,0,19.85,0,0,0,0,0,0,2630.52,0,0,0,0,0,5052.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086.94
eca-miR-196b,0,0,0,3117.14,1818.18,0,4096.42,0,0,0,2072.88,3389.38,3431.51,0,3306.07,0,1151.02,0,44.51,0,0,9.82,798.63,0,0,0,0,0,0,12325.27,0,0,0,0,0,0,0,0,0,1316.21,3834.89,0,0,0,2521.08,69.71,4151.88,0,0,0,0,1230.04
eca-miR-199a-3p,5339.29,75479.06,45674.52,32679.74,28746.93,57806.17,60570.18,57550.43,111293.49,46435.78,75826.04,31516.86,28102.01,48834.63,13833.3,95582.4,43421.31,48266.57,32802.21,46726.35,28238.97,87234.54,83775.91,29410.69,61443.18,17733.76,64146.93,42728.64,51819.16,33292.41,68836.13,77964.88,32828.63,75726.82,35111.19,101186.17,37307.28,66899.16,72814.52,74988.44,55523.48,44743.62,41272.25,35062.5,58825.18,52070.26,81066.04,84660.86,34703.79,22976.64,163.66,54726.26
eca-miR-199a-5p,320.44,779.86,32.37,0,0,0,2202.12,2245.41,889.12,6569.99,41.46,1408.57,0,0,0,264.53,0,0,0,0,1953.29,9.82,2335.98,109.61,49.15,0,2808.09,15.3,2552.79,1275.03,679.3,13.9,6024.64,0,3204.59,124.86,0,7.8,5800.13,0,0,0,0,11937.5,0,0,0,0,0,5335.4,0,2334.99
eca-miR-199b-3p,5339.29,75479.06,45674.52,32679.74,28746.93,57806.17,60570.18,57550.43,111293.49,46435.78,75826.04,31516.86,28102.01,48834.63,13833.3,95582.4,43421.31,48266.57,32802.21,46726.35,28238.97,87234.54,83775.91,29410.69,61443.18,17733.76,64146.93,42728.64,51819.16,33292.41,68836.13,77964.88,32828.63,75726.82,35111.19,101186.17,37307.28,66899.16,72814.52,74988.44,55523.48,44743.62,41272.25,35062.5,58825.18,52070.26,81066.04,84660.86,30797.24,22976.64,163.66,54726.26
eca-miR-199b-5p,0,0,2265.92,1186.53,0,0,47.36,1396.31,3180.3,0,1160.81,44.02,1767.75,0,0,0,0,0,0,2127.57,13.95,9.82,2216.19,0,49.15,0,2581.85,0,0,2927.84,16.17,2224.79,0,1599.86,1741.63,1460.86,0,3705.78,0,3699.62,1505.09,49.5,47.33,2500,3081.32,0,3757.57,1176.99,3489.34,6862.87,0,0
eca-miR-19a,10907.47,55.7,2379.22,1488.19,7764.13,2381.69,0,0,0,0,82.92,0,0,0,87,176.35,2182.97,0,44.51,6703.87,9557.16,9.82,0,0,0,23952.1,13.31,0,0,2975.07,3655.3,1835.45,0,0,0,12.49,0,0,0,0,0,17422.29,0,62.5,4874.09,0,1461.28,27.37,0,0,3780.63,2460.08
eca-miR-19b,56260.25,167.11,1327.18,5429.86,16904.18,15937.32,47.36,7075.87,4992.73,5725.28,2404.54,3917.6,2521.64,73.99,11919.26,0,4485.02,6737.72,9346.63,15455.02,24402.15,2465.47,5810.01,15636.99,14451.44,33164.44,39.93,11825.72,71.57,9869.66,5224.17,6646.55,12663.12,3285.74,7342.7,0,5235.39,3003.64,24702.69,106.72,7834.73,0,4117.76,11500,11176.78,0,46.39,5446.98,10088.75,15210.19,12733.02,10048.78
eca-miR-200a,0,0,0,0,4127.76,0,0,735.89,0,0,0,0,2183.69,0,0,0,0,0,0,0,0,0,0,0,2506.88,0,0,0,0,0,0,0,0,0,0,0,0,702.15,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0
eca-miR-200b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.75,492.69,0,0,0,0
eca-miR-200c,0,0,1230.07,0,1449.63,0,0,0,1213.99,0,0,0,0,0,0,88.18,0,0,0,0,0,0,19.97,0,147.46,0,0,0,0,0,0,0,0,0,0,0,41.22,70.21,0,0,0,0,0,2312.5,0,0,0,1067.5,0,0,0,0
eca-miR-204b,0,0,0,0,0,0,0,0,0,0,0,0,2469.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393.3,0,0,0,0,0,0,49.5,0,2937.5,0,0,0,27.37,0,0,0,0
eca-miR-205,0,0,0,0,1523.34,0,0,0,0,0,0,0,233.97,0,3132.07,0,0,0,0,0,0,0,0,986.45,0,0,0,0,0,0,0,723.06,1886.96,0,4124.17,0,0,0,0,0,0,0,0,0,0,0,603.07,0,0,0,0,0
eca-miR-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829.21,0,0,0,0,0,0,0
eca-miR-20a,237.21,0,0,1870.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.02,4023.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4687.5,0,69.71,0,0,0,0,0,0
eca-miR-21,47770.65,44340.46,78449.46,93675.21,97911.55,51885.32,76245.5,64267.79,30349.66,49063.78,37104.6,96531.38,97902.1,28486.87,119192.62,47879.38,60289.74,65866.31,120571.48,45562.2,74141.25,60664.4,50712.77,97256.22,75108.14,94196.22,22291.72,82795.34,49337.95,90574.23,58064.31,39740.26,72136.59,54137.28,100415.2,30965.16,46129.11,28171.76,76486.54,15581.09,99501.05,47861.81,33320.71,73250,66584.5,36037.92,40057.52,56769.04,89623,121487.89,71389.99,18200.39
eca-miR-211,0,0,1197.7,0,0,0,0,1113.27,0,0,0,0,0,0,0,0,0,0,2848.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8562.66,3691.78,0,0,0,0,0,0,1527.47,0,0
eca-miR-214,1106.98,0,0,0,0,0,0,0,0,7438.17,41.46,44.02,0,0,0,0,0,0,0,0,0,0,1896.74,0,2359.42,0,0,0,23.86,0,0,0,2137.04,1720.28,0,0,3875.01,0,4339.66,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-215,26334.41,0,0,0,2653.56,0,0,4132.31,0,23.46,0,0,0,0,87,0,6866.44,0,0,6663.72,13087.03,29.47,19.97,0,8307.12,230.31,13.31,3671.63,23.86,47.22,1924.69,556.2,0,3354.55,27.87,2035.21,8656.94,7.8,6759.86,35.57,0,15739.46,141.99,0,4341.86,5227.94,1461.28,0,0,17060.37,7495.79,20.85
eca-miR-216a,187.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-218,0,0,0,0,0,0,0,0,0,0,0,836.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975.77,0,0,0,1762.81,0,0,0,0,0
eca-miR-22,12051.9,12143.49,23355.18,26827.55,22137.59,26621.56,29124.83,12736.57,13405.15,12342.2,14966.21,15934.5,15311.83,9618.94,34887.77,45939.51,23754.71,21887.38,11794.55,17221.31,20481.63,25126.22,25456.22,17390.67,17695.64,10133.58,16156.51,6914.91,22354.77,18228.18,16060.68,24778.56,26303.82,22776.54,25093.35,20988.89,22466.82,22991.46,19904.03,23656.22,26431.9,37319.34,29912.91,21500,30897.22,29276.45,34421.17,23348.11,41682.47,15102.62,24009.43,33878.16
eca-miR-221,11194.62,11363.64,13886.87,35796.88,39115.48,7990.92,23181.47,34247.22,5215.01,5373.32,44981.55,46791.09,29037.88,2219.76,52027.14,7759.46,8950.19,40507.98,68897.99,11641.44,12291.77,20155.98,18528.13,34744.8,22217.85,23721.79,13241.95,19551.45,27364.91,84340.76,17403.12,10845.84,37784.75,13160.16,33494.96,1460.86,14922.91,9650.64,9013.14,9355.77,32885.24,49.5,15240.44,32500,14874.37,15404.99,13267.46,10620.24,25942.5,1936.23,45580.27,16178.13
eca-miR-222,2567.69,2116.76,10552.72,12267.47,8746.93,8925.79,331.5,12264.85,5488.59,0,14219.97,15362.27,4055.42,443.95,2610.06,6965.88,11748.36,7513.58,4272.74,7346.15,4827.41,2573.52,6588.67,11764.28,0,9212.34,10327.39,3365.66,6608.61,6941.82,5677.04,6354.55,8934.66,5694.13,14852.59,6043.2,11996.04,9822.28,28416.44,9889.37,6659.52,98.99,3739.11,17437.5,6330.71,8434.41,1646.84,2381.34,11757.57,12391.89,13813.19,11174.58
eca-miR-223,3732.93,0,6490.25,2413.27,3218.67,3049.46,1610.15,3377.55,837.82,0,0,0,5953.15,0,7830.17,0,3869.82,0,1824.82,3492.43,0,0,0,4164.99,4620.53,0,0,5798.12,0,8547.41,3348,1501.73,181.88,2666.44,0,12.49,3751.34,1318.48,0,0,4927.63,16184.91,0,812.5,0,0,0,27.37,37.93,21.51,0,8214.15
eca-miR-224,607.59,0,16.19,0,3464.37,4919.2,47.36,0,0,0,0,44.02,0,73.99,0,0,0,0,0,0,0,9.82,0,0,0,0,0,3564.54,2051.77,0,0,1209.73,0,0,0,0,0,0,0,0,2742.15,0,0,4812.5,0,0,0,0,0,0,16.37,0
eca-miR-23a,23554.48,6851.6,20490.41,17717.45,15823.1,7612.52,22447.43,13472.46,5779.26,2440.28,5804.07,29976.23,25008.45,443.95,24969.55,7318.58,14010.72,81.67,33959.41,2649.43,16658.76,29.47,14375.27,16586.9,19317.73,19806.54,13321.8,18266.38,16199.45,32111.82,12825.9,11735.75,21916.06,10700.15,48263.95,2085.15,17437.55,6350.54,11641.98,5727.3,22720.71,4058.6,15287.77,1875,10252.39,11571.17,37042.19,6049.16,7016.61,14564.78,17528.35,8443.48
eca-miR-23b,2317.99,6684.49,12203.61,5289.09,24.57,3227.53,18090.55,3943.62,2769.94,2416.82,4601.8,22008.98,26490.24,0,9657.21,7142.23,39.69,0,19182.84,80.29,3990.29,19.65,2835.12,18267.51,12485.25,19345.92,3473.52,5660.44,8636.53,9019.64,5838.78,9997.64,2387.12,1290.21,44042.24,1098.76,7420.23,5094.48,15939.91,3664.05,6370.87,3959.61,1088.6,62.5,5266.25,6970.58,35859.25,6815.57,37.93,6303.52,17528.35,0
eca-miR-24,8718.49,2339.57,3447.44,6797.39,5798.53,9771.62,10963.25,6906.05,10737.8,13609.27,2363.09,5194.12,12192.27,0,9918.22,14548.98,2361.58,6860.22,8901.55,19308.74,12249.91,4891.66,7686.78,2119.03,11108.93,12206.36,3606.6,6777.22,4556.84,5194.56,7229.73,2780.98,8093.48,8291.76,2577.61,3458.61,3710.12,951.8,0,6403.19,7649.17,49.5,0,8375,5686.43,15335.29,13197.88,8348.39,19874.08,4582.42,11014.55,9819.46
eca-miR-25,77496.73,1615.42,7736.51,8969.33,48869.78,66.78,5138.28,31360.27,3659.06,33413.11,5430.95,2773.13,17781.48,147.98,25926.57,88.18,24012.7,81.67,24968.84,33679.9,28950.53,933.15,9304,5809.07,13124.26,16351.91,3367.05,22274.58,1860.91,8972.42,14588.86,14141.3,5638.16,12540.86,5921.53,6804.84,9151.62,2871.01,25871.06,6225.32,4783.31,85527.62,16329.04,4750,8823.78,13522.93,7654.3,8649.48,75.86,33174.13,68787.74,20347.75
eca-miR-26a,12592.91,130737.52,111807.07,88949.22,65086,148310.56,106128.05,95080.85,130973.75,57581.3,93652.83,91381.28,84669.98,122604.51,61162.35,84295.92,130779.92,88121.2,77710.52,109630.28,58194.05,120601.93,117877.25,73398.85,103568.62,123906.03,97085.44,80928.92,140737.21,79712.88,117066.7,136963.44,107897.97,144486.5,94033.89,113534.77,159864.79,153552.09,107364.91,112340.36,51441.18,89437.74,121071.56,102312.5,107846.16,107486.41,141882.96,144002.85,89395.43,55096.6,47658.79,100863.11
eca-miR-27a,4307.22,389.93,5098.32,3479.14,4275.18,0,1941.66,3302.07,0,2322.96,2694.75,88.04,1325.81,0,16791.37,264.53,0,6533.55,5029.38,2127.57,2636.94,9.82,1078.15,4530.34,49.15,16121.6,6853.87,1575.74,3053.8,850.02,4075.82,6660.46,1955.17,0,2438.28,2210.01,0,1474.51,6801.59,35.57,5175.04,0,10649.38,3000,0,3973.23,5984.27,1259.1,37.93,2022.29,1833.03,2439.23
eca-miR-27b,10799.27,2228.16,12155.05,6515.84,3955.77,66.78,8382.27,6585.28,5215.01,9244.92,5348.04,2509.02,13362.1,73.99,17226.38,264.53,6548.92,12495.41,3961.19,9835.01,5929.63,7494.65,6668.53,22432.5,10125.84,0,2475.38,4375.36,11833.47,4816.77,5774.08,5575.87,0,3148.12,10171.1,2884.26,2679.53,7200.92,4464.84,1885.38,15339.57,6879.83,0,5312.5,2549.09,3206.47,4360.63,1478.08,9178.49,7379.2,8134.07,8255.85
eca-miR-28-3p,2114.08,19942.07,8675.24,7380.59,0,4095.62,12857.55,8679.74,10925.88,8564.46,3979.93,6294.57,11256.4,8287.09,2088.05,11903.71,4008.73,0,5563.47,4174.86,11942.96,12130.92,5730.14,4749.55,6685.02,8751.73,6042.05,5155.59,8708.1,9633.55,8022.26,8495.91,5501.75,1118.18,4779.02,11287.3,11831.15,11351.4,0,11988.19,4041.07,49.5,4733.06,15125,10112.33,4600.59,8582.1,6049.16,12781.61,3313.11,3649.69,5441.35
eca-miR-28-5p,145.65,1838.24,1068.22,1488.19,0,0,402.54,0,0,0,1492.48,1364.56,0,0,0,0,0,0,0,0,0,0,0,0,1228.86,0,0,0,882.74,0,0,1237.54,0,0,0,0,0,670.94,0,0,1319.53,0,0,0,0,0,1971.56,1724.42,0,0,0,2001.42
eca-miR-296,216.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-29a,5809.55,167.11,1974.59,3016.59,3587.22,0,3457.09,7207.96,17.1,23.46,290.2,5678.32,6993.01,591.93,2697.06,176.35,13633.66,40.83,7343.78,40.14,8413.09,0,3474.02,6247.49,1818.72,0,4990.68,11366.77,1359.9,14261.43,6825.39,4838.91,17278.22,1634.27,1727.69,12.49,3792.56,4415.73,0,0,1587.56,0,7336.24,0,3305.41,0,46.39,6186.02,0,22567.88,0,0
eca-miR-29b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072.14,0,0,0
eca-miR-29c,3828.64,0,2185,20.11,0,0,23.68,18.87,0,0,2653.29,88.04,26,147.98,0,0,0,0,44.51,0,1158.02,0,0,0,0,0,0,2417.16,2099.49,0,0,0,0,0,3148.86,0,0,0,0,35.57,20.62,0,473.31,4437.5,0,1672.94,0,0,0,21.51,6808.4,0
eca-miR-301a,41.62,0,16.19,0,0,0,0,0,0,0,0,44.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-30b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.89,0,2667.06,0,0,0,0,1192.89,0,0,0,0,0,0,0,0,0,0,1458.5,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-30c,291.31,0,987.29,0,0,0,0,0,3470.98,23.46,0,0,0,0,0,0,0,0,0,0,0,0,419.28,0,49.15,230.31,1636.94,0,739.59,3730.64,2086.43,1265.35,0,2201.96,2117.82,2696.97,1154.26,0,4256.21,35.57,0,0,0,0,0,2370,0,1067.5,0,21.51,0,0
eca-miR-30d,3375.03,35817.74,13741.2,16309.7,7518.43,8591.91,10963.25,16642.45,13028.98,10253.88,23299.2,12104.94,3873.45,22049.57,16443.36,13402.7,14844.22,40.83,5563.47,5579.86,7589.92,6993.69,11699.88,6576.3,10863.15,25333.95,6720.79,11504.45,18227.36,11522.48,15575.47,17311.62,15141.18,8567,2131.75,13359.97,28856.46,14830.94,15731.27,13090.96,10927.38,27420.31,15382.43,6437.5,18571.95,6273.53,19460.49,15300.82,3641.05,13338.5,3584.23,11445.61
eca-miR-30e,0,9971.03,4904.1,643.54,2948.4,5164.05,3906.99,2924.69,4172.01,3402.32,1119.36,1232.5,3379.52,2663.71,4872.11,10933.78,2163.13,16619.71,10770.87,0,1562.63,1876.12,718.76,5114.9,7520.64,20267.16,3034.34,0,3077.66,7414.05,1439.48,2655.84,4137.68,3251.33,2034.22,6055.69,5194.16,2855.4,2962.65,1885.38,4762.69,0,47.33,2500,0,3485.29,7816.67,4899.55,5954.64,3011.92,0,11987.66
eca-miR-31,1739.54,167.11,210.41,5811.97,9066.34,16493.79,923.47,2981.3,4137.81,3590.03,248.75,176.07,9410.66,221.98,9396.21,8288.51,2361.58,40.83,267.05,7105.29,2371.85,0,0,14869.75,49.15,22800.55,2981.1,15.3,1765.48,5052.89,0,2127.45,3569.32,2081.54,7649.22,12.49,6554.54,967.4,41.73,35.57,5587.4,0,0,10312.5,2437.04,2788.23,3966.32,4899.55,13085.03,9207.87,5597.29,5837.47
eca-miR-323-3p,0,0,0,0,0,0,0,0,0,0,82.92,2949.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-324-5p,287.15,0,1537.59,0,0,0,0,2188.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,0,0,764.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-328,0,2339.57,16.19,0,0,0,0,0,0,0,0,0,1871.73,0,0,0,19.85,0,0,0,0,0,0,0,1523.79,0,0,0,0,0,0,389.34,0,0,0,0,3256.66,0,0,0,0,49.5,0,0,0,0,0,1122.24,2503.22,0,0,5733.23
eca-miR-330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-337-5p,0,0,0,0,2751.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-338-3p,0,0,0,0,0,0,0,0,1248.18,0,0,0,0,0,0,0,2242.51,0,6142.07,0,0,0,0,0,0,0,0,0,0,5430.68,0,723.06,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-338-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.8,0,0,0,0,0,0,0,0,37.93,0,0,0
eca-miR-33a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11392.87,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-340-3p,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,2733.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-340-5p,778.21,1726.83,1149.15,2775.26,0,0,1468.08,2905.82,615.54,2698.39,0,1452.59,0,0,0,4232.43,0,0,0,40.14,1367.3,0,2895.02,0,0,0,0,0,0,0,129.39,2224.79,4796.98,0,0,0,2267.29,335.47,0,0,597.91,0,47.33,0,0,0,1414.89,0,0,21.51,16.37,20.85
eca-miR-342-3p,20079.57,0,32.37,0,3538.08,3294.31,0,4000.23,0,0,0,0,26,0,87,0,7164.12,40.83,0,10035.73,9961.77,29.47,3693.65,36.54,0,6448.64,13.31,2050,0,47.22,744,3656.99,4160.41,17.2,0,3483.58,10264.65,7.8,0,0,0,0,4117.76,62.5,0,9689.11,23.19,0,0,6583.19,3878.82,5128.63
eca-miR-342-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,954.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-34a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689.57,0,0,0,0,6193.47,0,0,0,1097.46,0,0,0,0,0,2995.6,0,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0
eca-miR-34b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658.42,0,0,0,0,0,0,0
eca-miR-34c,0,0,16.19,0,0,22.26,23.68,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,0,2959.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9513.87,0,0,0,0,0,0,0,0,0,3830.69,0,0,0
eca-miR-361-3p,0,1336.9,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,6860.22,0,0,0,0,0,0,0,0,532.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.95,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-361-5p,986.29,0,0,0,0,3049.46,0,2679.4,0,0,0,1496.61,0,0,0,0,0,0,0,0,0,0,1237.87,0,0,0,0,0,0,0,0,0,0,0,2521.87,0,0,0,0,1636.37,0,0,0,2125,0,0,0,0,0,0,0,0
eca-miR-362-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,3569.32,0,0,0,0,0,0,0,0,0,0,7437.5,0,0,23.19,0,0,0,0,0
eca-miR-363,4294.74,0,3075.18,0,0,0,0,622.68,17.1,12576.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.31,13.31,0,0,0,0,0,0,0,0,561.87,0,0,0,0,0,0,0,62.5,0,0,0,0,0,43.03,0,0
eca-miR-365,395.35,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45,0,0,0,0,2285.01,911.47,0,0,0,1849.81,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-369-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,3037.4,0,0,0,0,0,0,0,0,2187.5,0,0,23.19,0,0,0,0,0
eca-miR-369-5p,0,0,323.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515.36,0,0,0,0,0,0,0,0,0,0,0
eca-miR-370,0,0,0,1528.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5052.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-374a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.34,0,1422.93,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-376a,0,55.7,16.19,0,0,0,23.68,0,0,0,0,0,0,73.99,0,0,0,0,2536.94,9995.58,0,0,0,36.54,0,0,0,0,0,2361.16,776.35,0,0,0,0,0,0,7.8,0,0,0,0,47.33,0,0,0,0,0,0,0,0,0
eca-miR-376c,0,0,32.37,3499.25,0,0,0,0,0,0,41.46,88.04,3691.48,0,0,0,0,0,534.09,0,0,0,0,0,0,0,13.31,0,0,0,0,0,3637.52,0,3246.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-377,0,0,0,0,3341.52,22.26,0,0,0,0,0,0,26,0,0,0,0,0,0,40.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720.94,0,0,0,0,0,37.93,0,0,0
eca-miR-378,2892.29,4177.81,4531.84,0,3759.21,3071.72,1539.12,3302.07,547.15,0,6384.48,1628.66,1169.83,7695.15,87,5466.89,5556.66,0,0,12805.59,7059.74,9.82,0,8585.73,3342.51,0,53.23,229.48,0,8972.42,0,4727.67,0,1668.67,0,849.04,700.8,413.49,7344.04,2027.68,2350.42,8216.19,0,4937.5,2829.21,3345.88,1693.22,1560.19,0,3227.06,0,10382.35
eca-miR-379,0,0,0,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-380,474.42,0,0,0,3169.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-381,0,0,0,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0,979.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-382,0,55.7,16.19,0,0,0,23.68,0,0,0,0,2993.22,0,0,0,0,0,0,0,0,2860.17,0,0,0,0,0,0,0,0,0,0,0,2455.33,0,2995.6,0,0,569.52,8303.78,0,0,0,0,0,0,0,0,0,0,3442.19,0,0
eca-miR-409-3p,420.32,0,0,0,0,5431.15,0,0,0,4763.25,0,0,0,0,3045.07,88.18,0,0,0,0,4367,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,6082.22,0,0,0,0,0,0,0,0,0,0,0
eca-miR-410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.15,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
eca-miR-411,0,0,16.19,0,0,0,0,0,0,0,0,44.02,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3877.49,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-423-3p,31823.52,55.7,5227.81,2292.61,9090.91,9237.41,3291.34,11604.43,7232.62,29236.47,3192.24,88.04,5537.21,4143.54,8874.2,8553.04,10478.27,14986.32,6142.07,25089.32,23411.56,5539.95,5650.28,36.54,8257.96,230.31,4897.52,45.9,143.15,377.79,6469.56,4115.86,1318.6,11250.65,2953.8,5418.9,5317.83,2005.02,13227.62,1992.1,1422.62,0,36018.55,187.5,84.04,5925,3340.06,6925.06,75.86,10928.96,7643.08,21682.02
