"customerID","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78"
"#uniSp.2","1692900","709368","1307561","1385489","275511","2469559","1608820","1507508","2205910","626888","3313895","202818","3409042","486544","32826","2039310","3151690","1437891","287000","1730621","3284938","993330","2009856","985457","4082054","2032415"
"#uniSp.4","687","626","706","592","40","2083","991","794","936","91","2130","916","1566","380","340","838","2137","710","233","1052","2352","1058","490","692","2322","1301"
"#uniSp.5","109","0","0","100","58","499","247","369","816","1","790","340","675","0","1","297","558","327","1","119","346","215","90","140","748","320"
"eca-let-7a","429","3","0","272","3547","63","1","205","0","561","95","1","126","1","2","0","18","83","1055","95","186","1","213","132","141","73"
"eca-let-7c","851","147","668","212","1675","358","489","529","144","1098","220","289","282","87","5","157","149","507","243","204","262","392","787","1582","456","138"
"eca-let-7d","0","0","0","0","77","0","0","0","0","1","107","0","1","0","3","0","0","3","0","0","1","0","0","53","38","0"
"eca-let-7e","33","1","0","112","2445","0","0","3","0","506","0","0","0","0","0","133","2","1","746","0","0","0","1","0","1","1"
"eca-let-7f","346","2","2","724","17834","2","1","442","3","2805","26","2","47","0","1","295","36","124","4976","521","188","36","225","2","0","148"
"eca-let-7g","101","0","1","0","1778","0","0","1","0","1","0","633","50","0","0","0","0","0","874","254","27","0","58","0","1","38"
"eca-miR-1","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","99","1","0","1","0","0","0","0","0"
"eca-miR-100","2","5","179","2073","26049","0","6","587","8","2628","192","5","1","0","0","2","35","5","8209","490","4","3","286","331","19","2"
"eca-miR-101","86","1","3","463","10880","1","1","213","2","792","0","1","35","1","3","1","2","0","3700","185","1","1","0","353","2","4"
"eca-miR-103","439","5","151","2174","66828","42","14","1064","67","9744","6","1586","125","5","9","304","51","9","21479","2186","533","85","157","288","236","293"
"eca-miR-106a","0","0","0","0","485","1","0","0","0","1","0","0","0","0","0","0","0","0","468","0","0","0","0","0","1","1"
"eca-miR-107a","439","5","151","2174","64210","3","14","1062","67","8989","6","1585","125","5","9","304","50","8","20810","1976","533","85","157","288","194","293"
"eca-miR-107b","2","1","2","677","14358","3","2","240","63","1668","2","801","66","1","5","6","46","1","3825","1087","241","75","2","1","43","171"
"eca-miR-10a","153","0","0","0","3618","0","119","0","0","1273","0","0","0","29","1","118","1","1","1369","103","0","71","100","0","24","2"
"eca-miR-10b","143","1","213","195","2546","241","2","279","2","1153","1","6","131","67","3","138","122","0","992","764","246","58","170","731","167","42"
"eca-miR-1179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0"
"eca-miR-1185","0","0","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
