X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A061DBP6	10.6650338434978	9.42176820508092	9.71089078929638	9.53162903693461	10.8162476931033	10.7342354171701	10.746883764994	10.8650604748311	9.08880943518255	9.23265116437114	9.8346306383085	9.58858909691558	10.8751042557337	10.7973048605236	11.1863309371138	10.3839958256368	10.9558678208346	10.7732546177066	9.48714866053646	10.161383860112	9.59352184651679	11.0909195736239	11.276339630012	10.5666724753735	11.2873660911834	10.1228279948077
A0A3Q2GSM3	12.4713068737463	12.0109895825941	11.8456821361374	10.8904694930156	12.4986024217611	10.2410416955266	12.9847780196157	12.0068975727349	9.89817811461972	10.855452509744	11.4987993544251	12.1575774702221	11.5382422923482	11.9086965905655	12.5859037962976	10.864255800995	10.6994162902312	11.9051839001793	10.4245757293049	10.3130077112537	9.53551839776867	11.7835957964774	11.071978476167	11.3490600244256	11.4258453056394	12.3271315626828
A0A3Q2GVV2	NA	6.27992624486778	NA	NA	5.27765006272485	5.61920463235239	NA	7.02990558952805	NA	7.16248196643581	4.47123949533824	6.25543652801372	6.34440776793309	NA	6.72749847260748	3.84921867237295	6.40268295781553	6.68617833600577	NA	NA	NA	6.08280475958212	5.03390748950432	6.33980903688826	5.64512232027064	NA
A0A3Q2GWC9	0.950304165261783	3.00410043808843	3.35429840408823	1.41783901592178	NA	3.32785404042874	NA	NA	NA	NA	NA	NA	1.26144054995619	1.91643460502933	NA	2.53242917843725	0.78546601716744	1.87644425746029	1.72799884793739	1.93545220428209	NA	NA	0.872749975402008	1.32019582126613	NA	NA
A0A3Q2GX72	4.62171783717742	NA	5.30066920915036	NA	4.73147110004047	NA	3.52530468227959	4.22196985591009	NA	NA	NA	7.90215198451936	2.7357214547398	NA	4.29441489746165	NA	3.28006548636163	4.78240332256668	NA	3.08845541337371	4.75298402687583	4.17129491112704	4.30038001818031	NA	4.40905822927354	NA
A0A3Q2GXB1	9.55166020302408	9.22756540608895	11.3202082342689	9.27817762050262	8.35791703065605	8.4763249767419	7.78770017620917	6.69040312669024	8.53763386794892	9.75862631337249	8.92087088198165	6.87731481251738	8.63500702562075	9.22376281360785	8.92809490543661	8.71166009128178	8.63606265751274	8.34891843581327	7.8095430668046	8.97229344549122	9.16914332990667	8.09095396687531	7.50993331608402	8.37138025706195	7.84605447336319	7.55665932090397
A0A3Q2GXX5	4.26975132204837	4.34219203502489	4.37042935488883	4.32112717686435	NA	4.05870612650642	NA	4.91494715047958	NA	4.19438653158331	NA	3.01073150944983	4.09936253975777	3.57706622036606	3.74657075141245	4.97260535452933	4.72715262762974	4.74721014030354	NA	4.78251865010172	NA	4.21246039336429	5.07150955775626	4.96361746155364	4.87357207296775	0.829875532179854
F6R810	2.47965999401773	3.84878816805674	4.32492578405532	NA	2.99292791587745	1.7185830142019	1.59195222994969	2.54016369373418	NA	3.19588142271218	NA	NA	1.27758609194591	3.82437072646072	3.43651900340623	1.77965475247196	0.591912986342026	3.18167824139517	2.1940397602013	2.41195224538636	NA	5.39309008817662	2.31248221149921	3.16593444319535	2.93667185665871	1.9197481367434
A0A3Q2H075	1.14789277635129	0.610635814952577	NA	NA	NA	1.42121521876354	NA	2.29512643054452	NA	NA	NA	NA	2.90240550573543	0.4997402875064	1.62781225580835	2.79510403669302	NA	2.08927440728547	NA	1.83229864111449	NA	NA	2.58024198253658	1.64600132441091	1.83937110581899	NA
A0A3Q2H1D2	10.7971589265615	10.7203725301523	10.7397637360484	10.9785174196009	9.74127315336919	13.1276219957308	10.3418190060104	11.0635231653492	11.1382461975486	11.2369170890375	11.2714688640376	11.1688851850712	10.7054163988827	11.1921016755435	10.6869031649966	11.29123402453	10.678696961021	11.428527674741	11.2959984619114	11.0730034530099	8.51083536152995	9.33347516817839	11.593759920013	11.4255358838028	11.3147984712956	10.6899106385679
A0A3Q2H306	8.29170945049441	9.81120608824423	7.87621609793499	10.9024730998498	9.78249866502449	10.96922101566	11.0108427651074	NA	7.85514879348838	9.91346240932584	7.81378760318075	11.4449320489422	7.23309234965254	9.14116452918669	9.05304343694003	8.13373818056078	6.69327785610887	5.85705787251089	9.68075157382753	8.57750058333446	NA	8.0689287187862	4.82105197557234	8.0122390238266	12.3739553733312	NA
A0A3Q2H3F6	10.1174093424816	10.4623182175493	10.9094056044477	10.6328680017969	9.5969221014382	9.57029594276949	10.0215630086643	9.61509990789553	9.5204772521908	11.1651268329395	10.5769472198631	10.5193413940267	9.77761204011593	10.4810324808278	9.6689789158977	10.4719901345694	9.80515861569232	10.5531012649814	9.66115101255052	10.7723063252129	10.0810572907933	9.4076459175041	9.38247488634533	10.3249455798009	9.99218776964074	9.76012944422529
F6WFI8	8.82624657017539	9.78110721979866	9.80371299864179	9.05316293795724	9.59549247145703	7.98724695547862	10.0456231653288	9.44442274334597	9.86941031397292	9.27957808232672	9.96868119127746	9.58757126837707	7.47845415341602	9.59866853901497	10.5761441821297	7.12062150803134	7.22090065078214	8.62533990425096	9.35956509436926	6.84867301140567	8.54878723713328	11.0008662022652	6.19177779140043	7.90182024104997	8.60972541782011	10.4407446130222
A0A3Q2H593	NA	6.65588558427819	NA	6.23733808837792	NA	5.05248545346944	NA	NA	NA	NA	NA	NA	5.96636355468087	NA	7.29919885838969	2.86526163505474	NA	NA	NA	6.0329119106374	NA	6.76212287850143	5.72931619910137	6.47315859864384	6.86675964683325	NA
A0A3Q2H659	4.55221105077684	2.75387619259755	NA	NA	6.51479609707386	4.6466119889876	NA	2.75617573440856	NA	NA	4.05628871680773	NA	2.01100177476489	3.23494423903689	5.93203990504516	2.26233693466158	4.55139912075675	NA	NA	2.68388730406144	NA	NA	NA	2.33232698321925	NA	1.6880326118865
A0A3Q2H6U6	1.9153793968835	4.96566424744107	NA	NA	NA	0.783330085583329	NA	NA	5.25926872020489	2.29104357996862	3.93143722962265	2.4995117170247	1.04855008417499	NA	1.5626454065487	NA	NA	1.50545399112846	NA	NA	NA	NA	2.57496856037793	1.20948455869802	5.88525221110975	NA
Q28383	6.03944769773242	NA	NA	8.155111680277	7.33689033482007	5.31981299696466	NA	6.32967078353869	4.27987240122047	NA	NA	NA	NA	4.80528213585679	NA	4.93531830018119	4.84214413958303	3.54115548385214	3.05478076769726	4.94402912624894	7.20998940270423	5.80577997937454	NA	NA	4.4006608813081	NA
A0A3Q2H8S7	8.99617121846128	8.19164160514275	8.10400635388229	6.94760771851587	7.48657762582918	9.39835892195568	8.28825242348284	8.29716848443038	7.51488760099794	7.75783666727754	7.62026382061936	7.29336128706813	8.72427167830825	8.67911410117137	8.98394840260471	8.80705862390148	9.0807056244842	8.38260241300416	7.21994291395413	8.75025476485047	7.67048630202452	7.95235104076774	9.1909555440974	8.81311419134629	8.81511746957487	7.90049854174605
